mcc,mnc,lac,cellid,lat,lon
240,1,67,26251541,57.8661235,11.9465425
240,5,195,12792965,57.86299628,11.92588983
240,5,195,12822962,57.8615647,11.92407015
240,5,195,12804039,57.87057729,11.94479776
240,5,195,12804033,57.87034472,11.94399149
240,5,195,12804031,57.87225677,11.94987898
240,65,195,12792965,57.8648232,11.9323395
240,2,30101,8061380,55.6039109,13.0277624
240,2,2022,484116,57.8637502,11.9233194
240,5,62,4063874,59.3402375,18.0300585
240,65,195,12792962,57.86666694,11.93661585
240,65,195,12793081,57.8618283,11.92245783
240,65,195,12793084,57.86148838,11.92262953
240,65,195,12793087,57.86333577,11.92692364
240,65,195,12804033,57.8706819,11.9472673
240,65,195,12823081,57.86073008,11.92075336
240,65,195,12834031,57.8710945,11.94869933
240,65,195,12834033,57.87017717,11.94463483
240,65,195,12822962,57.86496487,11.9302794
240,65,195,12792968,57.86764709,11.93876
240,65,195,12804037,57.87159084,11.94990146
240,65,195,12804039,57.87033606,11.94412438
240,5,195,12792962,57.86346377,11.92770343
240,8,11014,28463617,57.8754021,11.9288054
240,7,11014,28463617,57.8732869,11.9472881
240,1,195,12823081,57.8688613,11.9263276
240,8,11014,28596738,57.8663236,11.9203636
240,95,390,1292901,57.8750532,11.9211232
240,8,390,1296485,57.8663232,11.9359267
240,95,390,28596741,57.875755,11.920873
240,8,390,1292895,57.87485127,11.92005611
240,5,195,12804016,57.8786825,11.9417545
240,8,390,1292896,57.8640811,11.9201168
240,5,195,12792968,57.8634571,11.9270849
240,5,195,12834033,57.8706106,11.9446553
240,5,195,12804036,57.8699403,11.9473335
240,2,20202,13300922,57.8685705,11.9294181
240,2,20202,13296362,57.8714259,11.94514
240,1,68,25988640,57.8708417,11.9455584
240,1,4416,53882,57.8753263,11.9357059
240,7,11014,28530191,57.870079,11.943601
240,7,11014,28530187,57.870079,11.943601
240,7,195,28463622,57.862846,11.921202
240,8,390,1292901,57.8735348,11.9307191
240,1,601,25988620,57.8718873,11.9488523
240,1,195,12804034,57.8721417,11.9495924
240,7,11014,28576517,57.8636817,11.9246006
240,85,195,12792968,57.868865,11.9464994
240,85,195,12793081,57.8611215,11.9226854
240,85,195,12793087,57.8634775,11.926903
240,85,195,12823081,57.8607745,11.9228867
240,85,195,12834033,57.8697507,11.9493157
240,1,120,27147797,57.867776,11.937156
240,24,11003,17062,57.875921,11.93599
240,1,601,25988885,57.868842,11.9378747
240,7,195,12834033,57.87025,11.9470829
240,2,20202,13248975,57.871216,11.9477465
240,85,195,12822962,57.8606951,11.9434629
240,7,195,12804033,57.87322998,11.94763184
240,7,195,12793084,57.8637535,11.9212478
240,7,195,12792965,57.8634027,11.9232377
240,7,195,12822962,57.8639547,11.9220141
240,8,11014,28596741,57.865736,11.926929
240,8,11014,28576517,57.86686,11.929319
240,1,4416,5378,57.875891,11.937361
240,1,155,10201522,57.8688877,11.9347061
240,1,120,27147807,57.876576,11.9292973
240,7,11014,29778180,57.8723412,11.9310552
240,8,11014,28530182,57.870649,11.945037
240,1,65344,15353,57.87872314,11.94763184
240,7,11014,28576521,57.873408,11.927062
240,7,165,0,57.874134,11.929392
240,1,120,25988886,57.8607342,11.9257498
240,1,195,12834033,57.8695276,11.9418774
240,1,601,25988640,57.8709598,11.9410121
240,1,601,25988886,57.8724788,11.9332255
240,1,601,26252576,57.873772,11.923053
240,7,195,12792962,57.87323,11.931152
240,1,155,7550204,57.877748,11.937776
240,1,155,10182573,57.877636,11.937294
240,1,155,10182579,57.8783026,11.9382455
240,1,155,10171528,57.8723918,11.9338755
240,1,4416,5388,57.8755666,11.9322953
240,8,11014,28463617,57.87872314,11.92565918
240,2,2022,140049922,57.871787,11.949458
240,8,11014,28576514,57.8623341,11.9235664
240,1,120,25989131,57.8607728,11.9203861
240,1,120,27147797,57.8641341,11.9265851
240,1,120,25989131,57.867016,11.935568
240,1,195,12834031,57.8719651,11.9497729
240,8,11014,28576526,57.863515,11.9231647
240,8,11014,28530187,57.8706379,11.9432607
240,8,11014,28530179,57.8712801,11.9425389
240,1,195,12804031,57.870483,11.947632
240,24,11003,16272,57.8689155,11.9270747
240,1,28,25989131,57.8632784,11.9234913
240,1,195,12793084,57.8641837,11.9206014
240,85,195,12792965,57.8663837,11.9434978
240,7,115,7550207,57.87637,11.932682
240,7,155,10171525,57.876215,11.932793
240,7,195,12792962,57.8697923,11.9352209
240,24,11003,14463,57.8681517,11.9410148
240,24,11003,17062,57.8777007,11.9419334
240,7,155,10182597,57.871622,11.948598
240,7,195,12804033,57.872189,11.942645
240,1,120,25988640,57.867611,11.945159
240,1,28,25989131,57.866687,11.928471
240,7,11014,28596741,57.8713791,11.9374789
240,1,120,27147810,57.87359,11.922539
240,1,120,25988640,57.8702498,11.9434479
240,1,120,25988885,57.8638143,11.9236969
240,8,11014,28463625,57.8683074,11.9394313
240,24,11003,11861,57.87816,11.943577
240,7,11014,28576516,57.8729537,11.9267186
240,7,11014,28576516,57.87322998,11.92565918
240,7,11014,28576521,57.8723137,11.9310552
240,8,11014,28463629,57.8645143,11.9249505
240,8,11014,28596750,57.8662478,11.9351026
240,7,11014,28595983,57.8786465,11.9480033
240,7,11003,17062,57.868958,11.935423
240,7,195,12792968,57.8615389,11.9316855
240,85,195,12793084,57.8622015,11.9238686
240,85,195,12804039,57.8699789,11.9466363
240,5,155,10161705,57.864992,11.949459
240,5,195,12822962,57.86705,11.944885
240,8,11014,28530191,57.8699644,11.9459095
240,1,4416,5037,57.8647266,11.9461788
240,1,4416,5535,57.8797925,11.939786
240,1,4416,5762,57.8674704,11.9241654
240,8,390,1289356,57.8683449,11.9396614
240,7,11014,28530182,57.8712369,11.9417423
240,85,195,12792962,57.8651353,11.9476845
240,85,195,12804033,57.8701138,11.9482772
240,2,2022,483860,57.8724272,11.9391853
240,1,4416,22037,57.870094,11.924059
240,8,11003,17062,57.862244,11.927855
240,8,11003,11861,57.870789,11.943967
240,7,11003,21845,57.87322998,11.94763184
240,1,11003,17062,57.876526,11.947632
240,1,11003,11861,57.87322998,11.94763184
240,8,390,1292901,57.870483,11.925659
240,7,11014,28576517,57.86224365,11.92565918
240,7,11014,28596738,57.86126,11.923609
240,7,11014,28596741,57.86925,11.933595
240,7,11014,28463617,57.87322998,11.94763184
240,7,11014,28463620,57.869223,11.932899
240,1,195,12793084,57.86499,11.928405
240,1,195,12804034,57.87322998,11.94763184
240,2,2022,484118,57.86773682,11.94763184
240,2,2022,484116,57.86224365,11.92565918
240,2,2022,483860,57.86773682,11.93664551
240,2,20202,8530386,57.872318,11.935034
240,41,195,12793081,57.86224365,11.92565918
240,41,195,12793087,57.86224365,11.92565918
240,41,195,12792962,57.86773682,11.93664551
240,41,195,12804033,57.87322998,11.94763184
240,41,195,12804037,57.87322998,11.94763184
240,41,195,12804031,57.87322998,11.94763184
240,41,195,12793084,57.86224365,11.92565918
240,41,195,12792968,57.86773682,11.93664551
240,41,195,12823081,57.86224365,11.92565918
240,41,195,12834033,57.86773682,11.94763184
240,41,195,12822962,57.86224365,11.92565918
240,41,195,12804039,57.86773682,11.94763184
240,41,195,12834031,57.87322998,11.94763184
240,41,195,12834032,57.86773682,11.94763184
240,41,195,12792965,57.86224365,11.93664551
